60,68,0.000
327,260,0.001
594,452,0.000
861,644,0.001
1128,836,0.000
1395,1028,0.000
1662,1220,0.001
1929,1412,0.001
2196,1604,0.001
2463,1796,0.000
7708,5070,0.002
29264,18978,0.002
50820,32886,0.002
72376,46794,0.002
93932,60702,0.002
115488,74610,0.002
137044,88518,0.001
158600,102426,0.001
180156,116334,0.002
201712,130242,0.002
487584,314225,0.014
2321841,1539281,0.014
4156098,2764337,0.014
5990355,3989393,0.014
7824612,5214449,0.014
9658869,6439505,0.014
11493126,7664561,0.016
13327383,8889617,0.014
15161640,10114673,0.015
16995897,11339729,0.014
